"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"111160948",2019,1,0,0,0,1,5,0,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela
"111161003",2019,0,0,1,0,4,6,0,Cornes
"111161004",2019,0,0,6,0,82,2,0,Covas
"111161006",2019,0,0,0,0,0,5,0,Gondarém
"111161007",2019,0,0,2,0,0,0,0,Loivo
"111161009",2019,0,0,5,0,0,1,0,Mentrestido
"111161012",2019,0,0,0,0,0,1,0,Sapardos
"111161013",2019,0,0,0,0,0,1,0,Sopo
"111161016",2019,0,0,0,1,0,3,0,União das freguesias de Campos e Vila Meã
"111161017",2019,0,0,0,2,0,1,0,União das freguesias de Candemil e Gondar
"111161018",2019,0,0,2,0,0,2,0,União das freguesias de Reboreda e Nogueira
"111161019",2019,0,1,1,0,2,4,0,União das freguesias de Vila Nova de Cerveira e Lovelhe
"112030102",2019,2,0,5,1,0,30,0,Barreiros
"112030104",2019,0,0,2,0,0,7,0,Bico
"112030105",2019,9,0,6,2,1,10,0,Caires
"112030107",2019,8,0,4,29,0,146,0,Carrazedo
"112030108",2019,12,2,12,9,1,30,0,Dornelas
"112030111",2019,2,1,4,2,1,25,0,Fiscal
"112030112",2019,8,3,2,6,1,11,0,Goães
"112030113",2019,2,0,2,20,2,8,0,Lago
"112030118",2019,2,12,2,4,0,79,0,Rendufe
"112030119",2019,7,0,2,0,0,18,0,Bouro (Santa Maria)
"112030120",2019,9,4,1,0,0,10,0,Bouro (Santa Marta)
"112030125",2019,12,1,8,2,0,20,0,União das freguesias de Amares e Figueiredo
"112030126",2019,2,0,6,2,1,14,0,"União das freguesias de Caldelas, Sequeiros e Paranhos"
"112030127",2019,12,2,14,35,3,51,3,"União das freguesias de Ferreiros, Prozelo e Besteiros"
"112030128",2019,1,0,6,8,0,12,0,União das freguesias de Torre e Portela
"112030129",2019,15,0,5,3,1,23,0,"União das freguesias de Vilela, Seramil e Paredes Secas"
"112030201",2019,0,0,0,0,1,12,0,Abade de Neiva
"112030202",2019,0,0,0,0,0,4,0,Aborim
"112030203",2019,1,0,0,5,1,6,0,Adães
"112030205",2019,0,0,0,0,0,4,0,Airó
"112030206",2019,0,0,0,0,0,2,0,Aldreu
"112030208",2019,0,0,0,0,0,1,0,Alvelos
"112030209",2019,0,0,6,0,0,0,0,Arcozelo
"112030210",2019,0,0,0,0,0,15,0,Areias
"112030212",2019,0,0,0,0,0,2,0,Balugães
"112030213",2019,0,0,0,0,0,1,0,Barcelinhos
"112030215",2019,0,0,5,0,1,1,0,Barqueiros
"112030216",2019,0,0,0,0,0,6,0,Cambeses
"112030218",2019,1,0,0,0,1,6,0,Carapeços
"112030220",2019,0,0,0,0,0,0,0,Carvalhal
"112030221",2019,0,0,0,0,0,4,0,Carvalhas
"112030224",2019,0,2,3,0,2,13,1,Cossourado
"112030228",2019,2,1,0,0,0,4,0,Cristelo
"112030234",2019,0,0,0,0,0,2,0,Fornelos
"112030235",2019,0,2,0,0,0,8,0,Fragoso
"112030237",2019,0,0,0,0,0,2,0,Gilmonde
"112030242",2019,0,0,0,0,0,3,0,Lama
"112030243",2019,0,0,1,0,1,2,0,Lijó
"112030244",2019,0,0,0,0,1,7,0,Macieira de Rates
"112030245",2019,0,0,1,0,0,31,0,Manhente
"112030247",2019,1,0,5,1,1,3,0,Martim
"112030252",2019,2,0,1,0,0,50,0,Moure
"112030254",2019,0,0,0,0,0,2,0,Oliveira
"112030255",2019,2,0,0,0,1,3,0,Palme
"112030256",2019,0,1,0,0,0,7,0,Panque
"112030257",2019,0,0,0,0,0,21,0,Paradela
"112030259",2019,0,0,0,0,0,2,0,Pereira
"112030260",2019,0,0,1,9,0,3,0,Perelhal
"112030261",2019,0,0,3,0,0,11,0,Pousa
"112030263",2019,0,0,1,0,6,45,0,Remelhe
"112030264",2019,2,1,1,0,1,6,0,Roriz
"112030265",2019,0,0,1,0,0,5,0,Rio Covo (Santa Eugénia)
"112030268",2019,0,0,0,0,0,2,0,Galegos (Santa Maria)
"112030272",2019,0,0,0,0,0,0,0,Galegos (São Martinho)
"112030277",2019,0,0,0,0,0,1,0,Tamel (São Veríssimo)
"112030279",2019,0,0,0,0,1,1,0,Silva
"112030282",2019,0,0,0,3,1,27,0,Ucha
"112030283",2019,0,0,3,0,0,18,0,Várzea
"112030287",2019,0,0,0,0,0,9,0,Vila Seca
"112030290",2019,1,3,5,0,2,5,0,União das freguesias de Alheira e Igreja Nova
"112030291",2019,6,1,2,4,1,22,0,União das freguesias de Alvito (São Pedro e São Martinho) e Couto
"112030292",2019,4,0,2,3,0,54,0,União das freguesias de Areias de Vilar e Encourados
"112030293",2019,1,0,1,3,0,5,0,"União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)"
"112030294",2019,4,1,3,1,1,25,0,União das freguesias de Campo e Tamel (São Pedro Fins)
"112030295",2019,0,0,1,0,0,35,4,União das freguesias de Carreira e Fonte Coberta
"112030296",2019,1,1,1,3,0,23,0,"União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral"
"112030297",2019,0,1,2,3,0,25,0,União das freguesias de Creixomil e Mariz
"112030298",2019,1,1,4,1,1,12,3,União das freguesias de Durrães e Tregosa
"112030299",2019,0,0,0,0,2,11,0,União das freguesias de Gamil e Midões
"1120302FA",2019,1,0,0,8,1,10,0,"União das freguesias de Milhazes, Vilar de Figos e Faria"
"1120302FB",2019,0,0,1,0,0,3,0,União das freguesias de Negreiros e Chavão
"1120302FC",2019,0,3,1,0,5,6,0,União das freguesias de Quintiães e Aguiar
"1120302FD",2019,1,2,1,0,0,20,0,União das freguesias de Sequeade e Bastuço (São João e Santo Estevão)
"1120302FE",2019,2,0,2,3,1,25,0,União das freguesias de Silveiros e Rio Covo (Santa Eulália)
"1120302FF",2019,0,0,0,0,0,2,0,União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte
"1120302FG",2019,1,0,1,0,2,30,0,"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães"
"1120302FH",2019,1,1,2,1,0,16,0,União das freguesias de Vila Cova e Feitos
"112030301",2019,0,0,0,3,0,25,0,Adaúfe
"112030312",2019,0,0,0,0,0,3,0,Espinho
"112030313",2019,1,1,1,1,2,11,0,Esporões
"112030315",2019,0,0,1,0,0,5,0,Figueiredo
"112030319",2019,0,0,0,0,1,3,0,Gualtar
"112030322",2019,0,0,0,0,0,4,0,Lamas
"112030325",2019,0,0,14,5,0,4,0,Mire de Tibães
"112030330",2019,0,0,1,1,0,30,0,Padim da Graça
"112030331",2019,2,3,6,8,15,49,0,Palmeira
"112030334",2019,0,0,0,0,0,6,0,Pedralva
"112030336",2019,0,0,1,2,9,5,0,Priscos
"112030338",2019,0,0,1,2,0,6,0,Ruilhe
"112030349",2019,0,0,0,0,0,0,0,Braga (São Vicente)
"112030351",2019,0,0,1,0,0,0,0,Braga (São Vítor)
"112030354",2019,1,0,1,0,1,4,0,Sequeira
"112030355",2019,0,0,0,0,0,9,0,Sobreposta
"112030356",2019,1,0,0,0,0,13,0,Tadim
"112030357",2019,0,0,0,0,2,2,0,Tebosa
"112030363",2019,1,2,0,4,0,4,0,União das freguesias de Arentim e Cunha
"112030364",2019,1,0,0,0,0,4,0,"União das freguesias de Braga (Maximinos, Sé e Cividade)"
"112030365",2019,0,0,0,0,0,0,0,União das freguesias de Braga (São José de São Lázaro e São João do Souto)
"112030366",2019,0,0,1,2,0,30,0,União das freguesias de Cabreiros e Passos (São Julião)
"112030367",2019,1,0,1,0,0,22,0,"União das freguesias de Celeirós, Aveleda e Vimieiro"
"112030368",2019,1,0,2,22,2,69,0,União das freguesias de Crespos e Pousada
"112030369",2019,0,0,6,13,3,22,0,União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente)
"112030370",2019,1,0,1,2,2,9,0,União das freguesias de Este (São Pedro e São Mamede)
"112030371",2019,1,0,4,0,2,4,0,União das freguesias de Ferreiros e Gondizalves
"112030372",2019,1,0,1,5,0,6,0,União das freguesias de Guisande e Oliveira (São Pedro)
"112030373",2019,0,0,2,2,0,2,0,União das freguesias de Lomar e Arcos
"112030374",2019,0,1,10,5,2,17,0,"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães"
"112030375",2019,0,0,1,2,0,5,0,União das freguesias de Merelim (São Pedro) e Frossos
"112030376",2019,1,0,1,0,0,12,0,União das freguesias de Morreira e Trandeiras
"112030377",2019,0,0,0,2,1,11,0,"União das freguesias de Nogueira, Fraião e Lamaçães"
"112030378",2019,0,0,0,0,1,1,0,União das freguesias de Nogueiró e Tenões
"112030379",2019,2,0,5,1,2,45,0,"União das freguesias de Real, Dume e Semelhe"
