"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops","region_name"
"119030740",1999,71,5,37,204,9,0,0,0,0,14,"União de freguesias de Ardegão, Arnozela e Seidões"
"119030741",1999,83,9,19,172,14,0,0,6,0,19,União de freguesias de Cepães e Fareja
"119030742",1999,126,19,38,175,6,0,0,0,0,13,União de freguesias de Freitas e Vila Cova
"119030743",1999,148,34,308,110,21,0,3,5,0,53,União de freguesias de Monte e Queimadela
"119030744",1999,119,46,190,154,24,0,0,5,0,37,União de freguesias de Moreira do Rei e Várzea Cova
"119030801",1999,27,1,0,44,1,0,0,0,0,0,Aldão
"119030804",1999,27,0,0,50,2,0,0,4,1,0,Azurém
"119030806",1999,29,3,0,37,3,0,0,1,0,4,Barco
"119030807",1999,50,0,0,141,5,0,0,2,0,0,Brito
"119030808",1999,26,1,3,125,5,0,0,4,0,8,Caldelas
"119030812",1999,15,0,4,16,8,0,0,10,0,0,Costa
"119030813",1999,19,0,0,102,7,0,0,18,0,0,Creixomil
"119030815",1999,58,0,1,90,8,0,0,9,2,0,Fermentões
"119030820",1999,47,2,3,78,4,0,0,2,0,3,Gonça
"119030821",1999,12,2,0,63,1,0,0,5,0,1,Gondar
"119030823",1999,18,0,1,126,3,0,0,2,0,0,Guardizela
"119030824",1999,53,0,0,73,6,0,0,2,0,0,Infantas
"119030827",1999,66,5,4,228,8,0,0,0,0,4,Longos
"119030828",1999,17,0,0,54,4,0,0,4,0,0,Lordelo
"119030830",1999,63,2,0,111,1,0,0,0,0,0,Mesão Frio
"119030831",1999,19,0,0,15,2,0,0,4,0,0,Moreira de Cónegos
"119030832",1999,14,0,0,16,1,0,0,4,4,0,Nespereira
"119030835",1999,38,1,0,43,8,0,0,8,0,0,Pencelo
"119030836",1999,27,0,0,85,10,0,0,7,2,0,Pinheiro
"119030837",1999,34,0,0,56,6,0,0,3,0,0,Polvoreira
"119030838",1999,83,2,1,126,11,0,0,11,0,0,Ponte
"119030840",1999,36,0,4,119,4,0,0,3,0,0,Ronfe
"119030842",1999,23,0,0,39,3,0,0,2,0,0,Prazins (Santa Eufémia)
"119030850",1999,23,0,0,26,2,0,0,2,0,0,Selho (São Cristóvão)
"119030854",1999,22,0,0,129,7,0,0,7,0,0,Selho (São Jorge)
"119030857",1999,13,0,0,97,6,0,0,10,0,0,Candoso (São Martinho)
"119030858",1999,36,3,0,69,5,0,0,3,0,5,Sande (São Martinho)
"119030865",1999,171,11,10,261,3,0,0,1,0,0,São Torcato
"119030866",1999,30,2,0,73,5,0,0,13,0,0,Serzedelo
"119030868",1999,39,0,0,61,6,0,0,7,0,0,Silvares
"119030871",1999,24,0,0,50,6,0,0,10,0,0,Urgezes
"119030875",1999,84,1,0,156,14,0,0,6,0,0,União das freguesias de Abação e Gémeos
"119030876",1999,57,0,20,94,5,0,0,2,0,0,"União das freguesias de Airão Santa Maria, Airão São João e Vermil"
"119030877",1999,56,8,1,58,6,0,0,5,0,0,União das freguesias de Arosa e Castelões
"119030878",1999,186,21,11,213,6,0,0,7,0,0,União das freguesias de Atães e Rendufe
"119030879",1999,29,6,2,82,4,0,0,2,0,5,União das freguesias de Briteiros Santo Estêvão e Donim
"119030880",1999,63,5,3,190,7,0,0,4,0,9,União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia
"119030881",1999,28,0,0,105,7,0,0,15,4,0,União das freguesias de Candoso São Tiago e Mascotelos
"119030882",1999,41,2,1,47,3,0,0,3,0,0,União das freguesias de Conde e Gandarela
"119030883",1999,83,1,1,299,5,0,0,1,0,2,"União das freguesias de Leitões, Oleiros e Figueiredo"
"119030884",1999,0,0,0,0,0,0,0,0,0,0,"União das freguesias de Oliveira, São Paio e São Sebastião"
"119030885",1999,30,0,0,33,3,0,0,4,0,0,União das freguesias de Prazins Santo Tirso e Corvite
"119030886",1999,48,5,2,304,8,0,0,5,0,10,União das freguesias de Sande São Lourenço e Balazar
"119030887",1999,96,4,2,142,10,0,0,5,1,14,União das freguesias de Sande Vila Nova e Sande São Clemente
