Dicofre,Freguesia,Concelho,Distrito,TAA,AREA_EA_Ha,AREA_T_Ha,Des_Simpli
"100907",Caranguejeira,LEIRIA,LEIRIA,ÁREA PRINCIPAL,3098.93,3098.93,Caranguejeira
"142114",Urqueira,OURÉM,SANTARÉM,ÁREA PRINCIPAL,3105.57,3105.57,Urqueira
"050916",União das freguesias de Cumeada e Marmeleiro,SERTÃ,CASTELO BRANCO,ÁREA PRINCIPAL,5173.28,5173.28,Cumeada e Marmeleiro
"142105",Espite,OURÉM,SANTARÉM,ÁREA PRINCIPAL,1977.65,1977.65,Espite
"051103",Sarnadas de Ródão,VILA VELHA DE RÓDÃO,CASTELO BRANCO,ÁREA PRINCIPAL,5967.54,5967.54,Sarnadas de Ródão
"142122",União das freguesias de Rio de Couros e Casal dos Bernardos,OURÉM,SANTARÉM,ÁREA PRINCIPAL,4411.25,4411.25,Rio de Couros e Casal dos Bernardos
"100934",União das freguesias de Marrazes e Barosa,LEIRIA,LEIRIA,ÁREA PRINCIPAL,3280.23,3280.23,Marrazes e Barosa
"100939",União das freguesias de Santa Eufémia e Boa Vista,LEIRIA,LEIRIA,ÁREA PRINCIPAL,1954.78,1954.78,Santa Eufémia e Boa Vista
"050216",Monforte da Beira,CASTELO BRANCO,CASTELO BRANCO,ÁREA PRINCIPAL,12035.46,12035.46,Monforte da Beira
"090229",Vilar Formoso,ALMEIDA,GUARDA,ÁREA PRINCIPAL,1513.69,1513.69,Vilar Formoso
"180622","União das freguesias de Tavares (Chãs, Várzea e Travanca)",MANGUALDE,VISEU,ÁREA PRINCIPAL,3501.67,3501.67,"Tavares (Chãs, Várzea e Travanca)"
"182315",Fragosela,VISEU,VISEU,ÁREA PRINCIPAL,1103.83,1103.83,Fragosela
"090759",Jarmelo São Miguel,GUARDA,GUARDA,ÁREA PRINCIPAL,1706.27,1706.27,Jarmelo São Miguel
"010126","União das freguesias de Trofa, Segadães e Lamas do Vouga",ÁGUEDA,AVEIRO,ÁREA PRINCIPAL,1606.81,1606.81,"Trofa, Segadães e Lamas do Vouga"
"181110",Real,PENALVA DO CASTELO,VISEU,ÁREA PRINCIPAL,469.08,469.08,Real
"180619","União das freguesias de Mangualde, Mesquitela e Cunha Alta",MANGUALDE,VISEU,ÁREA PRINCIPAL,4624.94,4624.94,"Mangualde, Mesquitela e Cunha Alta"
"091018",Pínzio,PINHEL,GUARDA,ÁREA PRINCIPAL,2713.00,2713.00,Pínzio
"090207",Castelo Bom,ALMEIDA,GUARDA,ÁREA PRINCIPAL,2504.14,2504.14,Castelo Bom
"181104",Germil,PENALVA DO CASTELO,VISEU,ÁREA PRINCIPAL,545.92,545.92,Germil
"180616",São João da Fresta,MANGUALDE,VISEU,ÁREA PRINCIPAL,740.91,740.91,São João da Fresta
"010515",Eixo e Eirol,AVEIRO,AVEIRO,ÁREA PRINCIPAL,2241.56,2241.56,Eixo e Eirol
"182321",Ranhados,VISEU,VISEU,ÁREA PRINCIPAL,623.40,623.40,Ranhados
"010127",União das freguesias do Préstimo e Macieira de Alcoba,ÁGUEDA,AVEIRO,ÁREA PRINCIPAL,4172.64,4172.64,Préstimo e Macieira de Alcoba
"090504",Figueiró da Granja,FORNOS DE ALGODRES,GUARDA,ÁREA PRINCIPAL,1168.08,1168.08,Figueiró da Granja
"010202",Alquerubim,ALBERGARIA-A-VELHA,AVEIRO,ÁREA PRINCIPAL,1535.86,1535.86,Alquerubim
"090502",Casal Vasco,FORNOS DE ALGODRES,GUARDA,ÁREA PRINCIPAL,673.41,673.41,Casal Vasco
"011006",Gafanha da Nazaré,ÍLHAVO,AVEIRO,ÁREA PRINCIPAL,1643.59,1643.59,Gafanha da Nazaré
"090314",Ratoeira,CELORICO DA BEIRA,GUARDA,ÁREA PRINCIPAL,774.30,774.30,Ratoeira
"182339",Repeses e São Salvador,VISEU,VISEU,ÁREA PRINCIPAL,1000.70,1000.70,Repeses e São Salvador
"182336","União das freguesias de Boa Aldeia, Farminhão e Torredeita",VISEU,VISEU,ÁREA PRINCIPAL,3513.37,3513.37,"Boa Aldeia, Farminhão e Torredeita"
"182401",Alcofra,VOUZELA,VISEU,ÁREA PRINCIPAL,2896.27,2896.27,Alcofra
"181112",Trancozelos,PENALVA DO CASTELO,VISEU,ÁREA PRINCIPAL,512.43,512.43,Trancozelos
"090714",Codesseiro,GUARDA,GUARDA,ÁREA PRINCIPAL,962.20,962.20,Codesseiro
"010119",Valongo do Vouga,ÁGUEDA,AVEIRO,ÁREA PRINCIPAL,4320.11,4320.11,Valongo do Vouga
"010210",São João de Loure e Frossos,ALBERGARIA-A-VELHA,AVEIRO,ÁREA PRINCIPAL,1818.42,1818.42,São João de Loure e Frossos
0302FA,"União das freguesias de Milhazes, Vilar de Figos e Faria",BARCELOS,BRAGA,ÁREA PRINCIPAL,1213.76,1213.76,"Milhazes, Vilar de Figos e Faria"
"030259",Pereira,BARCELOS,BRAGA,ÁREA PRINCIPAL,384.81,384.81,Pereira
"171316",Vreia de Jales,VILA POUCA DE AGUIAR,VILA REAL,ÁREA PRINCIPAL,4727.83,4727.83,Vreia de Jales
0302FE,União das freguesias de Silveiros e Rio Covo (Santa Eulália),BARCELOS,BRAGA,ÁREA PRINCIPAL,823.46,823.46,Silveiros e Rio Covo (Santa Eulália)
"030858",Sande (São Martinho),GUIMARÃES,BRAGA,ÁREA PRINCIPAL,330.43,330.43,Sande (São Martinho)
"030878",União das freguesias de Atães e Rendufe,GUIMARÃES,BRAGA,ÁREA PRINCIPAL,1208.92,1208.92,Atães e Rendufe
"030808",Caldelas,GUIMARÃES,BRAGA,ÁREA PRINCIPAL,269.36,269.36,Caldelas
"030865",São Torcato,GUIMARÃES,BRAGA,ÁREA PRINCIPAL,1038.51,1038.51,São Torcato
"030708",Estorãos,FAFE,BRAGA,ÁREA PRINCIPAL,590.44,590.44,Estorãos
"030322",Lamas,BRAGA,BRAGA,ÁREA PRINCIPAL,125.35,125.35,Lamas
"030336",Priscos,BRAGA,BRAGA,ÁREA PRINCIPAL,364.91,364.91,Priscos
"030724",Revelhe,FAFE,BRAGA,ÁREA PRINCIPAL,491.07,491.07,Revelhe
"030338",Ruilhe,BRAGA,BRAGA,ÁREA PRINCIPAL,220.35,220.35,Ruilhe
"040532",Vale Benfeito,MACEDO DE CAVALEIROS,BRAGANÇA,ÁREA PRINCIPAL,1513.56,1513.56,Vale Benfeito
"030263",Remelhe,BARCELOS,BRAGA,ÁREA PRINCIPAL,612.41,612.41,Remelhe
"030376",União das freguesias de Morreira e Trandeiras,BRAGA,BRAGA,ÁREA PRINCIPAL,454.29,454.29,Morreira e Trandeiras
"030418",União das freguesias de Alvite e Passos,CABECEIRAS DE BASTO,BRAGA,ÁREA PRINCIPAL,1218.92,1218.92,Alvite e Passos
"171310",Soutelo de Aguiar,VILA POUCA DE AGUIAR,VILA REAL,ÁREA PRINCIPAL,1736.64,1736.64,Soutelo de Aguiar
"030806",Barco,GUIMARÃES,BRAGA,ÁREA PRINCIPAL,301.61,301.61,Barco
"030733",Travassós,FAFE,BRAGA,ÁREA PRINCIPAL,814.22,814.22,Travassós
"030363",União das freguesias de Arentim e Cunha,BRAGA,BRAGA,ÁREA PRINCIPAL,572.05,572.05,Arentim e Cunha
"030315",Figueiredo,BRAGA,BRAGA,ÁREA PRINCIPAL,202.67,202.67,Figueiredo
"030287",Vila Seca,BARCELOS,BRAGA,ÁREA PRINCIPAL,434.25,434.25,Vila Seca
"040721",Mirandela,MIRANDELA,BRAGANÇA,ÁREA PRINCIPAL,3244.94,3244.94,Mirandela
"170908",União das freguesias de Cerva e Limões,RIBEIRA DE PENA,VILA REAL,ÁREA PRINCIPAL,6003.76,6003.76,Cerva e Limões
"171223",São Pedro de Veiga de Lila,VALPAÇOS,VILA REAL,ÁREA PRINCIPAL,1938.27,1938.27,São Pedro de Veiga de Lila
"080804",Boliqueime,LOULÉ,FARO,ÁREA PRINCIPAL,4621.28,4621.28,Boliqueime
"080809",Loulé (São Sebastião),LOULÉ,FARO,ÁREA PRINCIPAL,6269.63,6269.63,Loulé (São Sebastião)
"081603",Monte Gordo,VILA REAL DE SANTO ANTÓNIO,FARO,ÁREA PRINCIPAL,422.48,422.48,Monte Gordo
"080704",Odiáxere,LAGOS,FARO,ÁREA PRINCIPAL,3185.13,3185.13,Odiáxere
"081309",União das freguesias de Alcantarilha e Pêra,SILVES,FARO,ÁREA PRINCIPAL,4625.61,4625.61,Alcantarilha e Pêra
"081310",União das freguesias de Algoz e Tunes,SILVES,FARO,ÁREA PRINCIPAL,4488.50,4488.50,Algoz e Tunes
"080404",Altura,CASTRO MARIM,FARO,ÁREA PRINCIPAL,1109.87,1109.87,Altura
"081602",Vila Real de Santo António,VILA REAL DE SANTO ANTÓNIO,FARO,ÁREA PRINCIPAL,1099.09,1099.09,Vila Real de Santo António
"080103",Paderne,ALBUFEIRA,FARO,ÁREA PRINCIPAL,5256.17,5256.17,Paderne
"080707",União das freguesias de Bensafrim e Barão de São João,LAGOS,FARO,ÁREA PRINCIPAL,13020.40,13020.40,Bensafrim e Barão de São João
"081103",Portimão,PORTIMÃO,FARO,ÁREA PRINCIPAL,7565.64,7565.64,Portimão
"080302",Bordeira,ALJEZUR,FARO,ÁREA PRINCIPAL,7986.06,7987.29,Bordeira
"081601",Vila Nova de Cacela,VILA REAL DE SANTO ANTÓNIO,FARO,ÁREA PRINCIPAL,4603.43,4603.43,Vila Nova de Cacela
"081404",Santa Catarina da Fonte do Bispo,TAVIRA,FARO,ÁREA PRINCIPAL,11758.82,11758.82,Santa Catarina da Fonte do Bispo
"081201",São Brás de Alportel,SÃO BRÁS DE ALPORTEL,FARO,ÁREA PRINCIPAL,15336.92,15336.92,São Brás de Alportel
"081410",União das freguesias de Conceição e Cabanas de Tavira,TAVIRA,FARO,ÁREA PRINCIPAL,6944.44,6944.44,Conceição e Cabanas de Tavira
"080402",Castro Marim,CASTRO MARIM,FARO,ÁREA PRINCIPAL,7934.81,7934.81,Castro Marim
"081102",Mexilhoeira Grande,PORTIMÃO,FARO,ÁREA PRINCIPAL,9115.26,9115.26,Mexilhoeira Grande
"080812","União de freguesias de Querença, Tôr e Benafim",LOULÉ,FARO,ÁREA PRINCIPAL,10217.51,10217.51,"Querença, Tôr e Benafim"
"081412",União das freguesias de Tavira (Santa Maria e Santiago),TAVIRA,FARO,ÁREA PRINCIPAL,14799.45,14799.45,Tavira (Santa Maria e Santiago)
"081307",Silves,SILVES,FARO,ÁREA PRINCIPAL,17499.30,17499.30,Silves
"080401",Azinhal,CASTRO MARIM,FARO,ÁREA PRINCIPAL,6815.59,6815.59,Azinhal
"080807",Salir,LOULÉ,FARO,ÁREA PRINCIPAL,18775.06,18775.06,Salir
"080802",Alte,LOULÉ,FARO,ÁREA PRINCIPAL,9433.34,9433.34,Alte
"081305",São Bartolomeu de Messines,SILVES,FARO,ÁREA PRINCIPAL,23987.21,23987.21,São Bartolomeu de Messines
"080301",Aljezur,ALJEZUR,FARO,ÁREA PRINCIPAL,16671.46,16675.99,Aljezur
"080901",Alferce,MONCHIQUE,FARO,ÁREA PRINCIPAL,9611.83,9611.83,Alferce
"081401",Cachopo,TAVIRA,FARO,ÁREA PRINCIPAL,20352.65,20352.65,Cachopo
"080403",Odeleite,CASTRO MARIM,FARO,ÁREA PRINCIPAL,14224.10,14224.10,Odeleite
