"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"16J090724",2009,0,0,1,0,3,6,0,Marmeleiro
"16J090725",2009,0,0,0,0,16,0,0,Meios
"16J090728",2009,0,3,0,0,5,2,0,Panoias de Cima
"16J090729",2009,0,0,1,0,1,3,0,Pega
"16J090730",2009,0,1,7,0,28,5,0,Pêra do Moço
"16J090732",2009,0,17,1,0,1,3,0,Porto da Carne
"16J090734",2009,0,37,48,0,1,6,0,Ramela
"16J090738",2009,0,1,0,0,5,0,0,Santana da Azinha
"16J090744",2009,0,39,3,0,1,15,0,Sobral da Serra
"16J090746",2009,0,0,0,0,5,0,0,Vale de Estrela
"16J090747",2009,0,18,66,0,0,16,0,Valhelhas
"16J090748",2009,0,26,30,0,3,18,0,Vela
"16J090749",2009,0,1,1,0,87,2,0,Videmonte
"16J090750",2009,0,17,1,0,0,1,0,Vila Cortês do Mondego
"16J090751",2009,0,0,1,0,4,4,0,Vila Fernando
"16J090752",2009,0,11,5,0,8,33,0,Vila Franca do Deão
"16J090753",2009,0,1,1,0,8,3,0,Vila Garcia
"16J090757",2009,1,48,26,0,5,43,0,Gonçalo
"16J090758",2009,0,13,6,0,13,6,0,Guarda
"16J090759",2009,0,1,2,0,7,18,0,Jarmelo São Miguel
"16J090760",2009,0,0,3,0,41,14,0,Jarmelo São Pedro
"16J090761",2009,0,6,1,0,3,7,0,União de freguesias de Avelãs de Ambom e Rocamondo
"16J090762",2009,0,2,1,0,23,0,0,União de freguesias de Corujeira e Trinta
"16J090763",2009,0,93,13,0,2,0,0,"União de freguesias de Mizarela, Pêro Soares e Vila Soeiro"
"16J090764",2009,0,0,1,0,8,12,0,União de freguesias de Pousade e Albardo
"16J090765",2009,0,0,0,0,5,9,0,União de freguesias de Rochoso e Monte Margarida
"16J090766",2009,0,0,2,0,7,3,0,Adão
"16J090801",2009,0,6,0,0,6,2,0,Sameiro
"16J090802",2009,0,5,2,1,0,10,0,Manteigas (Santa Maria)
"16J090803",2009,0,5,3,0,3,9,0,Manteigas (São Pedro)
"16J090804",2009,0,5,0,0,0,1,0,Vale de Amoreira
"16J090901",2009,0,29,7,0,56,91,0,Aveloso
"16J090902",2009,0,91,0,0,7,75,0,Barreira
"16J090905",2009,0,206,7,0,2,170,0,Coriscada
"16J090907",2009,0,317,7,0,123,629,0,Longroiva
