Nuts_region_perm,NutsID,region_name,Perm_crop,Area_1989,Area_1999,Area_2009,Area_2019
111160131_Rio de Moinhos_Nuts plantations,111160131,Rio de Moinhos,Nuts plantations,0,0,0,21
111160131_Rio de Moinhos_Vineyards,111160131,Rio de Moinhos,Vineyards,25,18,6,5
111160131_Rio de Moinhos_Other permanent crops,111160131,Rio de Moinhos,Other permanent crops,0,0,0,0
111160133_Sabadim_Citrus plantations,111160133,Sabadim,Citrus plantations,1,0,0,0
111160133_Sabadim_Olive plantations,111160133,Sabadim,Olive plantations,2,0,0,0
111160133_Sabadim_Fresh fruit plantations (excluding citrus plantations),111160133,Sabadim,Fresh fruit plantations (excluding citrus plantations),0,0,0,1
111160133_Sabadim_Fruit plantations (subtropical climate zones),111160133,Sabadim,Fruit plantations (subtropical climate zones),0,0,0,0
111160133_Sabadim_Nuts plantations,111160133,Sabadim,Nuts plantations,0,0,0,3
111160133_Sabadim_Vineyards,111160133,Sabadim,Vineyards,29,24,7,14
111160133_Sabadim_Other permanent crops,111160133,Sabadim,Other permanent crops,0,0,0,0
111160142_Jolda (São Paio)_Citrus plantations,111160142,Jolda (São Paio),Citrus plantations,0,0,1,0
111160142_Jolda (São Paio)_Olive plantations,111160142,Jolda (São Paio),Olive plantations,2,0,0,0
111160142_Jolda (São Paio)_Fresh fruit plantations (excluding citrus plantations),111160142,Jolda (São Paio),Fresh fruit plantations (excluding citrus plantations),1,0,0,0
111160142_Jolda (São Paio)_Fruit plantations (subtropical climate zones),111160142,Jolda (São Paio),Fruit plantations (subtropical climate zones),0,0,0,0
111160142_Jolda (São Paio)_Nuts plantations,111160142,Jolda (São Paio),Nuts plantations,0,0,0,1
111160142_Jolda (São Paio)_Vineyards,111160142,Jolda (São Paio),Vineyards,24,35,11,24
111160142_Jolda (São Paio)_Other permanent crops,111160142,Jolda (São Paio),Other permanent crops,0,0,0,0
111160144_Senharei_Citrus plantations,111160144,Senharei,Citrus plantations,0,0,0,0
111160144_Senharei_Olive plantations,111160144,Senharei,Olive plantations,0,0,0,0
111160144_Senharei_Fresh fruit plantations (excluding citrus plantations),111160144,Senharei,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
