"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops"
"111160915",1999,0,2,1,0,0,26,0
"111160920",1999,0,5,0,0,0,9,0
"111160922",1999,0,0,1,0,0,20,1
"111160923",1999,0,0,0,2,0,5,0
"111160925",1999,0,1,0,0,0,34,0
"111160926",1999,2,2,3,0,0,56,0
"111160928",1999,3,5,2,0,1,53,0
"111160935",1999,1,1,2,0,0,20,0
"111160938",1999,1,2,0,2,0,28,0
"111160940",1999,0,0,0,0,0,8,0
"111160941",1999,0,1,2,1,0,41,1
"111160942",1999,1,3,2,1,0,20,0
"111160943",1999,0,4,13,3,0,91,0
"111160944",1999,1,0,3,0,0,13,0
"111160945",1999,2,9,1,7,0,36,0
"111160946",1999,0,4,1,1,0,43,0
"111160947",1999,0,4,2,3,1,29,0
"111160948",1999,1,0,3,0,0,12,0
"111161003",1999,0,0,0,0,0,4,0
"111161004",1999,0,0,0,0,1,8,0
"111161006",1999,0,0,0,0,0,5,0
"111161007",1999,0,0,0,0,0,2,0
"111161009",1999,0,0,0,0,0,2,0
"111161012",1999,0,0,0,0,0,3,0
"111161013",1999,0,0,0,0,0,4,0
"111161016",1999,0,0,0,1,0,6,0
"111161017",1999,0,0,0,0,0,4,0
"111161018",1999,0,0,0,0,0,7,0
"111161019",1999,0,0,1,0,0,2,0
"112030102",1999,0,1,5,3,0,22,0
"112030104",1999,2,0,1,0,1,15,3
"112030105",1999,16,1,1,1,0,31,0
"112030107",1999,9,1,35,16,7,89,0
"112030108",1999,11,3,1,2,0,42,0
"112030111",1999,6,0,4,0,1,40,0
"112030112",1999,19,3,2,0,0,25,0
"112030113",1999,0,0,1,0,1,38,0
"112030118",1999,1,0,3,0,0,123,0
"112030119",1999,14,2,0,0,0,26,0
"112030120",1999,15,2,1,1,1,25,0
"112030125",1999,5,0,13,8,0,20,1
"112030126",1999,4,1,14,0,0,39,0
"112030127",1999,21,1,27,21,1,114,0
"112030128",1999,9,1,1,4,1,21,0
"112030129",1999,10,5,9,2,0,45,0
"112030201",1999,2,0,2,0,0,28,5
"112030202",1999,0,0,0,0,0,8,0
"112030203",1999,0,0,0,0,1,12,0
"112030205",1999,0,0,0,0,0,10,0
"112030206",1999,0,0,0,0,0,12,0
"112030208",1999,0,0,0,2,0,15,0
"112030209",1999,0,0,1,0,0,3,0
"112030210",1999,0,0,0,0,0,4,0
"112030212",1999,0,0,0,0,0,8,0
"112030213",1999,0,0,0,0,0,12,0
"112030215",1999,0,0,1,1,0,18,0
"112030216",1999,0,0,2,2,0,15,0
"112030218",1999,0,0,0,0,0,20,0
"112030220",1999,1,0,0,0,0,9,0
"112030221",1999,0,0,0,0,0,12,0
"112030224",1999,1,3,2,0,0,30,0
"112030228",1999,0,0,0,0,0,16,0
"112030234",1999,0,0,0,0,0,12,0
